gutenberg_id	word
35	met
35	friday
35	linnaean
35	similar
35	tubingen
35	laid
35	considerable
35	stress
35	blowing
35	candle
35	trick
35	explain
35	thursday
35	richmond
35	suppose
35	time
35	traveller's
35	constant
35	guests
35	arriving
35	late
35	found
35	assembled
35	drawing
35	medical
35	standing
35	fire
35	sheet
35	paper
35	hand
35	watch
35	looked
35	round
35	time
35	traveller
35	half
35	past
35	medical
35	suppose
35	dinner
35	naming
35	host
35	odd
35	unavoidably
35	detained
35	note
35	lead
35	dinner
35	explain
35	pity
35	dinner
35	spoil
35	editor
35	daily
35	paper
35	doctor
35	rang
35	bell
35	psychologist
35	person
35	doctor
35	attended
35	previous
35	dinner
35	blank
35	editor
35	aforementioned
35	journalist
35	quiet
35	shy
35	beard
35	observation
35	mouth
35	evening
35	speculation
35	dinner
35	table
35	time
35	traveller's
35	absence
35	suggested
35	time
35	travelling
35	half
35	jocular
35	spirit
35	editor
35	explained
35	psychologist
35	volunteered
35	wooden
35	account
35	ingenious
35	paradox
35	trick
35	witnessed
35	day
35	week
35	midst
35	exposition
35	door
35	corridor
35	slowly
35	noise
35	facing
35	door
35	hallo
35	door
35	wider
35	time
35	traveller
35	stood
35	cry
35	surprise
35	heavens
35	matter
35	cried
35	medical
35	tableful
35	door
35	amazing
35	plight
35	coat
35	dusty
35	dirty
35	smeared
35	green
35	sleeves
35	hair
35	disordered
35	greyer
35	dust
35	dirt
35	colour
35	faded
35	ghastly
35	pale
35	chin
35	brown
35	cut
35	cut
35	half
35	healed
35	expression
35	haggard
35	drawn
35	intense
35	suffering
35	moment
35	hesitated
35	doorway
35	dazzled
35	light
35	walked
35	limp
35	footsore
35	tramps
35	stared
35	silence
35	expecting
35	speak
35	word
35	painfully
35	table
35	motion
35	wine
35	editor
35	filled
35	glass
35	champagne
35	pushed
35	drained
35	looked
35	round
35	table
35	ghost
35	smile
35	flickered
35	earth
35	doctor
35	time
35	traveller
35	hear
35	disturb
35	faltering
35	articulation
35	stopped
35	held
35	glass
35	draught
35	eyes
35	grew
35	brighter
35	faint
35	colour
35	cheeks
35	glance
35	flickered
35	dull
35	approval
35	round
35	warm
35	comfortable
35	spoke
35	feeling
35	words
35	wash
35	dress
35	explain
35	save
35	mutton
35	starving
35	bit
35	meat
35	looked
35	editor
35	rare
35	visitor
35	hoped
35	editor
35	question
35	presently
35	time
35	traveller
35	funny
35	minute
35	glass
35	walked
35	staircase
35	door
35	remarked
35	lameness
35	soft
35	padding
35	sound
35	footfall
35	standing
35	feet
35	pair
35	tattered
35	blood
35	stained
35	socks
35	door
35	closed
35	half
35	mind
35	follow
35	till
35	remembered
35	detested
35	fuss
35	minute
35	mind
35	wool
35	gathering
35	remarkable
35	behaviour
35	eminent
35	scientist
35	heard
35	editor
35	thinking
35	wont
35	headlines
35	brought
35	attention
35	bright
35	dinner
35	table
35	game
35	journalist
35	amateur
35	cadger
35	follow
35	met
35	eye
35	psychologist
35	read
35	interpretation
35	time
35	traveller
35	limping
35	painfully
35	upstairs
35	noticed
35	lameness
35	recover
35	completely
35	surprise
35	medical
35	rang
35	bell
35	time
35	traveller
35	hated
35	servants
35	waiting
35	dinner
35	hot
35	plate
35	editor
35	knife
35	fork
35	grunt
35	silent
35	suit
35	dinner
35	resumed
35	conversation
35	exclamatory
35	gaps
35	wonderment
35	editor
35	fervent
35	curiosity
35	friend
35	eke
35	modest
35	income
35	crossing
35	nebuchadnezzar
35	phases
35	inquired
35	feel
35	assured
35	business
35	time
35	machine
35	psychologist's
35	account
35	previous
35	meeting
35	guests
35	frankly
35	incredulous
35	editor
35	raised
35	objections
35	_was_
35	time
35	travelling
35	cover
35	dust
35	rolling
